trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
41,False,"{'a': 0.4179999999999999, 'e': 0.4367863958719317}",20,14,9.737793146183947,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.4159999999999999, 'e': 0.42805066795449304}",25,10,-36.98163829082268,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 0}",1
43,False,"{'a': 0.4139999999999999, 'e': 0.4194896545954032}",20,0,-53.60233530413434,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",1
44,False,"{'a': 0.4119999999999999, 'e': 0.41109986150349515}",35,0,-14.06911927622047,"{0: 30, 1: 2, 2: 2, 3: 1, 4: 0}",0
45,False,"{'a': 0.4099999999999999, 'e': 0.4028778642734252}",20,0,-45.63086919498067,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",1
46,False,"{'a': 0.4079999999999999, 'e': 0.39482030698795667}",25,0,-33.343119818628985,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
47,False,"{'a': 0.4059999999999999, 'e': 0.38692390084819756}",25,12,-32.710524724637224,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
48,False,"{'a': 0.4039999999999999, 'e': 0.3791854228312336}",25,20,9.680863443006452,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.4019999999999999, 'e': 0.3716017143746089}",25,13,-14.381925212035547,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
50,False,"{'a': 0.3999999999999999, 'e': 0.36416968008711675}",20,0,-51.52997695222412,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
51,False,"{'a': 0.3979999999999999, 'e': 0.3568862864853744}",25,20,8.584009628462798,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.3959999999999999, 'e': 0.3497485607556669}",30,17,-42.477520156445415,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
53,False,"{'a': 0.3939999999999999, 'e': 0.34275358954055357}",35,6,-24.55876606083945,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 1}",1
54,False,"{'a': 0.3919999999999999, 'e': 0.3358985177497425}",25,15,17.114155671314386,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.3899999999999999, 'e': 0.3291805473947476}",25,3,10.964274444174558,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
56,False,"{'a': 0.3879999999999999, 'e': 0.32259693644685267}",25,13,-25.896719342396004,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
57,False,"{'a': 0.3859999999999999, 'e': 0.3161449977179156}",20,0,9.412274984664,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
58,False,"{'a': 0.3839999999999999, 'e': 0.3098220977635573}",25,6,-4.8305317703481165,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 0}",1
59,False,"{'a': 0.3819999999999999, 'e': 0.30362565580828615}",25,1,-15.403239175293749,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 0}",1
60,False,"{'a': 0.3799999999999999, 'e': 0.2975531426921204}",20,0,-72.10049200687186,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
61,False,"{'a': 0.3779999999999999, 'e': 0.291602079838278}",20,2,-14.152037479072368,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 0}",1
62,False,"{'a': 0.3759999999999999, 'e': 0.2857700382415124}",20,11,-34.90883918191463,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
63,False,"{'a': 0.3739999999999999, 'e': 0.2800546374766822}",25,9,23.923745482088577,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.3719999999999999, 'e': 0.2744535447271485}",20,2,11.147420703237508,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.3699999999999999, 'e': 0.2689644738326056}",25,16,5.064954996796807,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
66,False,"{'a': 0.3679999999999999, 'e': 0.26358518435595346}",35,24,-35.564465692486124,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
67,False,"{'a': 0.3659999999999999, 'e': 0.25831348066883436}",20,3,-22.60817300216649,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 0}",1
68,False,"{'a': 0.3639999999999999, 'e': 0.2531472110554577}",25,18,12.256113373435326,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.3619999999999999, 'e': 0.2480842668343485}",25,16,6.698953479549091,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
70,False,"{'a': 0.3599999999999999, 'e': 0.24312258149766153}",25,13,18.73167020028159,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.3579999999999999, 'e': 0.2382601298677083}",20,0,30.677326461598142,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
72,False,"{'a': 0.35599999999999987, 'e': 0.23349492727035415}",30,8,-31.085298323769504,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 1}",1
73,False,"{'a': 0.35399999999999987, 'e': 0.22882502872494703}",25,18,-30.451263690972432,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
74,False,"{'a': 0.35199999999999987, 'e': 0.2242485281504481}",25,8,-79.87143759624993,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 2}",1
75,False,"{'a': 0.34999999999999987, 'e': 0.21976355758743912}",30,16,9.903015177138434,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.34799999999999986, 'e': 0.21536828643569034}",25,10,-31.441345245306078,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 1}",1
77,False,"{'a': 0.34599999999999986, 'e': 0.21106092070697655}",25,5,-56.837769917968565,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",1
78,False,"{'a': 0.34399999999999986, 'e': 0.206839702292837}",25,13,22.268100994019456,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.34199999999999986, 'e': 0.20270290824698026}",25,0,-1.0079108904551672,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
80,False,"{'a': 0.33999999999999986, 'e': 0.19864885008204064}",25,10,-10.378953585340533,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
81,False,"{'a': 0.33799999999999986, 'e': 0.19467587308039982}",20,9,-62.2128559846591,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 2}",1
82,False,"{'a': 0.33599999999999985, 'e': 0.19078235561879184}",20,12,10.676780282852867,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.33399999999999985, 'e': 0.186966708506416}",25,4,22.916579924485,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.33199999999999985, 'e': 0.18322737433628766}",20,0,-38.681013813586844,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
85,False,"{'a': 0.32999999999999985, 'e': 0.1795628268495619}",20,6,18.089260389497028,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.32799999999999985, 'e': 0.17597157031257069}",25,14,-20.80756001216719,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
87,False,"{'a': 0.32599999999999985, 'e': 0.17245213890631925}",20,11,5.833005224331378,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.32399999999999984, 'e': 0.16900309612819286}",20,0,-42.394428312805786,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
89,False,"{'a': 0.32199999999999984, 'e': 0.16562303420562902}",30,13,-5.990220026091425,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
90,False,"{'a': 0.31999999999999984, 'e': 0.16231057352151643}",20,14,11.138805829883049,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.31799999999999984, 'e': 0.1590643620510861}",35,24,-44.743360556270375,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 1}",1
92,False,"{'a': 0.31599999999999984, 'e': 0.15588307481006436}",30,5,-10.144302488768856,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",1
93,False,"{'a': 0.31399999999999983, 'e': 0.1527654133138631}",20,12,15.507343665558787,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.31199999999999983, 'e': 0.1497101050475858}",25,15,18.947922519769854,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.30999999999999983, 'e': 0.14671590294663409}",20,9,10.619695655375173,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.30799999999999983, 'e': 0.1437815848877014}",20,8,23.714335177521164,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.3059999999999998, 'e': 0.1409059531899474}",30,7,-28.303493986461685,"{0: 19, 1: 1, 2: 1, 3: 2, 4: 0}",1
98,False,"{'a': 0.3039999999999998, 'e': 0.13808783412614842}",30,19,-22.058884624769586,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
99,False,"{'a': 0.3019999999999998, 'e': 0.13532607744362546}",20,3,32.06022452215314,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.2999999999999998, 'e': 0.13261955589475294}",25,1,29.764505260447464,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.2979999999999998, 'e': 0.12996716477685788}",25,20,9.125082654702208,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.2959999999999998, 'e': 0.12736782148132073}",25,14,5.007857950051254,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
103,False,"{'a': 0.2939999999999998, 'e': 0.12482046505169431}",30,19,17.245401295485678,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.2919999999999998, 'e': 0.12232405575066042}",20,11,1.9351477866173388,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
